1,Software Engineering & Product Management,Buyogo GMBH,"The internship will be offered in one of these areas (to be discussed in interview):
1. Software Engineering - We have a SAAS product with the technical stack of JS/JAVA/AWS. We can offer internships in this space and can provide a hands on experience with using a novel tech stack.
2. Product Management - We have a product team which works with our business team and converts business requirements into product features and create a bridge between sales and technology. We can offer internships in this same space. 
",Work from home,"1. Software engineering - Some basic background of coding with C++/JS/Java; Aptitude
2. Product Management - NA
","1. Software Engineering - Tangible contribution in creating new features in our product.
2. Product management - Help the team conceptualise and create multiple feature product documents which can then be added to the product. ",8,ANY BRANCH,"1. Software Engineering - Hands on experience using/working with novel tech stacks, exposure into various processes which are part of working of a technology team.
2. Product Management - Understanding of the processes involved in business side of technology companies as well as hands on experience devising productised solutions for those business problems.","2nd year UG, 3rd year UG",25000
2,Product Analyst,Incluzon,"Your objective is to work with the product analytics team for both B2C & B2B businesses in India
1.Participate in building the product strategy to understand the challenges of the product team & help understand customer behavior & customer needs, translate them into product opportunities, and help build & test new features
2.Providing key customer insights in collaboration with core team; provide insights into customer's use cases & pain points that would allow Incluzon to provide a seamless user experience.
3.Deep dive & provide nuanced insights into the business to allow us to make breakthrough business & product improvements
4.Pitch and conduct your own projects based on your findings and willingness to deep dive into certain areas of the business",Mumbai or Bangalore ,"SQL, MS Excel, PowerPoint & Creativity  ",To be discussed during interview,6,ANY BRANCH,"1. Exposure to understand user behavior 
2. A strong foundation that will help you to build your career in product based company","2nd year UG, 3rd year UG, 1st year MSc, 1st year Mtech, 1st year Ph.D, Anyone interested to build their career in digital product based company",25000
3,Creating Data Lake and Analytics ,Sodel Solutions Pvt Ltd,We have a huge amount of data in Mysql DB. Need to create a data lake and run distributed analytics on it. ,Work from home,Should have sound knowledge of analytics and data,A working prototype of data lake,8,Computer Science Engineering,"A banking based application having big data, and running analytics on it. ",3rd year UG,25000
4,Automation in Analytics Industry,Stealth,Help design a software tool to improve digital product analytics and enhance the speed and efficiecy of the process,Work From Home or Hyderabad,Hands on coders. Ready to get their hands dirty. Should have some experience in Front End / Back End/ Full Stack development.,Ship the Minimum Viable Product (MVP) at least,8,ANY BRANCH,Learn to hustle. Learn to get clarity from clutter. Involve yourself in building something new grounds up.,"2nd year UG, 3rd year UG, 1st year Mtech",25000
5,Product Operations,Incluzon,Executing and boosting the engagement and customer bases through various marketing strategies including digital marketing ,Mumbai or Bangalore,"Good communication skills, MS Excel, POR is a plus",To be discussed during interview,4,ANY BRANCH,Hands-on experience of Stakeholder Management ,"2nd year UG, 3rd year UG, 1st year MSc, 1st year Mtech, 1st year Ph.D",20000
6,Full Stack Web Application Development - NodeJS/ReactJS,CoralMango Solutions Pvt Ltd,"Develop modules for a web application in NodeJS / ReactJS using KeystoneJS or AdonisJS frameworks. The candidate will learn how to architect a database schema for the project, relationships between the tables, serve data as an API, consume data and use in ReactJS Frontend.",Work from home,"The student must be familiar with javascript, data structures, database / SQL",The deliverable will be a completed module as per specifications shared at the beginning of the project / internship,6,ANY BRANCH,"The candidate will learn how to architect a database schema for the project, relationships between the tables, serve data as an API, consume data and use in ReactJS Frontend. These skills are required for full stack software jobs and also if you want to start your own venture and head the technology department.","3rd year UG, 1st year MSc, 1st year Mtech",15000
7,Life Cycle Assessment of Bioethanol,KOKO Networks Limited,"KOKO Networks is a technology company that develop holistic solutions for improving the standard of living of the low income households in fast growing cities of the world. The 1st such product has been launched in Kenya to rendering access to clean cooking by introducing a tech-enabled bioethanol distribution network and cooking appliances. KOKO would like to conduct a research on the life cycle assessment of the bioethanol and compare it with other fuels to understand the social, economical and environmental impacts delivered by our solution. ",Work from home,Environmental Studies,Research Report,6,"Energy Science Engineering, Environmental Science Engineering, Humanities and Social Sciences","Understanding of life cycle assessment, understanding of climate solutions and its impacts, understanding of climate financing mechanisms.","2nd year UG, 3rd year UG, 1st year Mtech",15000
8,AI for cyber security,Cyble,Building Machine learning algorithms for extracting and analyzing threat intelligence for cyber security.,Work from home,"Machine Learning, Python","To be determined, mostly will involve developing algorithms or research.",6,"Computer Science Engineering, Electrical Engineering",Understanding applications of AI in cyber security and the experience of working at a high growth YC startup.,"3rd year UG, 1st year Mtech, 1st year Ph.D",15000
9,Bid Engineering for Solar PV Power Plants,PV Diagnostics,"Following are the key tasks involved in this project:
1. Various combination optimizations to get best energy yield out of a fixed land parcel
2. Various cost optimizations to minimize the bid tariff
3. Basic financial modelling and listing different assumptions
4. Sensitivity analysis for different factors on plant yield
5. Listing comparison between 2-3 best possible options",Work from home,"Understanding of optimisation problems, algorithms, basic programming, Excel solver, Linear algebra, Solar PV plant basic knowledge","For the major tasks mentioned in the problem statement, following deliverables will be expected from students:
1. Develop mathematical models for different factors like gcr on shadow loss, overaloading vs clipping loss, etc.
2. Create a framework to integrate various factors for the overall optimization problem
3. Convert the framework in to an excel based or python based optimization model
4. Make a deployment strategy for actual usage",5,"Electrical Engineering, Energy Science Engineering, Industrial Engineering and Operations Research, Mechanical Engineering","1. Work with a team of fellow IIT seniors
2. Work with actual industry data from top renewable energy companies in India
3. This problem statement will have lot of future integrations for incorporating other RE and non-RE sources and integration of storage","3rd year UG, 1st year Mtech",15000
10,Object segmentation and detection with super resolution for microscopy images,RADX Technologies,"Architect, design and develop Deep Learning model based on AutoEncoder for object detection in microscopy images by applying super resolution techniques and develop use case for healthcare applicaion. It has to be developed in Tensorflow-Keras framework.",Work from home,Background in Deep Learning and Computer Vision with tensoflow framework development in python,SW framework in python with DL models for object detection,To be discussed during the interview,"Applied Statistics and Informatics, Biosciences and Bioengineering, Computer Science Engineering, Electrical Engineering",Working on state of the art technology and consulting job with RADX after successful completion of the project ,"1st year Mtech, 1st year Ph.D",15000
